school number,District,campus,district2,latitude,longitude,address,grade_span,school_type,feeder
'057905208,'057905,SEAGOVILLE EL,DALLAS ISD,32.6408272,-96.5401077,"304 N Kaufman St, Seagoville, TX 75159",'EE - 05,E,SEAGOVILLE H S
'057905226,'057905,MARTIN WEISS EL,DALLAS ISD,32.6438293,-96.8304291,"8601 Willoughby Blvd, Dallas, TX 75232",'PK - 05,E,DAVID W CARTER HIGH SCHOOL
'057905023,'057905,DAVID W CARTER H S,DALLAS ISD,32.6496811,-96.8485947,"1819 W Wheatland Rd, Dallas, TX 75232",'09 - 12,S,#N/A
'057905175,'057905,UMPHREY LEE ELEMENTARY SCHOOL,DALLAS ISD,32.6528549,-96.8349838,"7808 Racine Dr, Dallas, TX 75232",'EE - 05,E,DAVID W CARTER HIGH SCHOOL
'057905380,'057905,WILMER-HUTCHINS H S,DALLAS ISD,32.6540375,-96.730835,"5520 Langdon Rd, Dallas, TX 75241",'09 - 12,S,#N/A
'057905235,'057905,BIRDIE ALEXANDER EL,DALLAS ISD,32.6559448,-96.847641,"1830 Goldwood Dr, Dallas, TX 75232",'PK - 05,E,DAVID W CARTER HIGH SCHOOL
'057905264,'057905,RONALD E MCNAIR EL,DALLAS ISD,32.6561737,-96.8632736,"3150 Bainbridge Dr, Dallas, TX 75237",'PK - 05,E,DAVID W CARTER HIGH SCHOOL
'057905126,'057905,CENTRAL EL,DALLAS ISD,32.6581993,-96.5376358,"902 Shady Ln, Seagoville, TX 75159",'PK - 05,E,SEAGOVILLE H S
'057905301,'057905,WILMER-HUTCHINS EL,DALLAS ISD,32.6586568,-96.7295142,"7475 J J Lemmon Rd, Dallas, TX 75241",'PK - 05,E,WILMER-HUTCHINS H S
'057905244,'057905,SEAGOVILLE NORTH EL,DALLAS ISD,32.659138,-96.558472,"1906 Seagoville Rd, Seagoville, TX 75159",'PK - 05,E,SEAGOVILLE H S
'057905085,'057905,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,DALLAS ISD,32.6595268,-96.7913742,"1700 E Camp Wisdom Rd, Dallas, TX 75241",'09 - 12,S,#N/A
'057905354,'057905,KENNEDY-CURRY MIDDLE,DALLAS ISD,32.6617017,-96.7575084,"6605 Sebring Dr, Dallas, TX 75241",'06 - 08,M,WILMER-HUTCHINS H S
'057905155,'057905,C A TATUM JR EL,DALLAS ISD,32.6641855,-96.6571308,"3002 S St Augustine Dr, Dallas, TX 75253",'KG - 05,E,SKYLINE HIGH SCHOOL
'057905213,'057905,T G TERRY ELEMENTARY SCHOOL,DALLAS ISD,32.665554,-96.8301773,"6661 Greenspan Ave, Dallas, TX 75232",'PK - 05,E,DAVID W CARTER HIGH SCHOOL
'057905215,'057905,R L THORNTON ELEMENTARY SCHOOL,DALLAS ISD,32.6740913,-96.7979431,"6011 Old Ox Rd, Dallas, TX 75241",'EE - 05,E,SOUTH OAK CLIFF H S
'057905305,'057905,EBBY HALLIDAY EL,DALLAS ISD,32.6760254,-96.6455329,"10210 Teagarden Rd, Dallas, TX 75217",'PK - 05,E,SEAGOVILLE H S
'057905183,'057905,THOMAS L MARSALIS EL,DALLAS ISD,32.6781731,-96.8133392,"5640 S Marsalis Ave, Dallas, TX 75241",'PK - 05,E,SOUTH OAK CLIFF H S
'057905219,'057905,ADELLE TURNER EL,DALLAS ISD,32.6783714,-96.8423843,"5505 S Polk St, Dallas, TX 75232",'PK - 05,E,DAVID W CARTER HIGH SCHOOL
'057905015,'057905,SEAGOVILLE H S,DALLAS ISD,32.678856,-96.583191,"15920 Seagoville Rd, Dallas, TX 75253",'09 - 12,S,#N/A
'057905142,'057905,J N ERVIN EL SCHOOL,DALLAS ISD,32.6803592,-96.7633282,"3722 Black Oak Dr, Dallas, TX 75241",'PK - 05,E,WILMER-HUTCHINS H S
'057905069,'057905,SEAGOVILLE MIDDLE SCHOOL,DALLAS ISD,32.6823554,-96.5841881,"950 N Woody Rd, Dallas, TX 75253",'06 - 08,M,SEAGOVILLE H S
'057905220,'057905,MARK TWAIN LEADERSHIP VANGUARD,DALLAS ISD,32.6839714,-96.8334274,"724 Green Cove Ln, Dallas, TX 75232",'EE - 05,E,DAVID W CARTER HIGH SCHOOL
'057905167,'057905,KLEBERG EL,DALLAS ISD,32.6843452,-96.6004944,"1450 Edd Rd, Dallas, TX 75253",'EE - 05,E,SEAGOVILLE H S
'057905187,'057905,NANCY MOSELEY EL,DALLAS ISD,32.6894226,-96.6416779,"10400 Rylie Rd, Dallas, TX 75217",'PK - 05,E,H GRADY SPRUCE H S
'057905381,'057905,BARACK OBAMA MALE LEADERSHIP ACA AT BF DARRELL H S,DALLAS ISD,32.6908044,-96.7915209,"4730 S Lancaster Rd, Dallas, TX 75216",'09 - 11,S,#N/A
'057905357,'057905,BARACK OBAMA MALE LEADERSHIP ACA AT BF DARRELL MID,DALLAS ISD,32.6908044,-96.7915209,"4730 S Lancaster Rd, Dallas, TX 75216",'06 - 08,M,Magnet
'057905072,'057905,SARAH ZUMWALT MIDDLE,DALLAS ISD,32.6913109,-96.7825241,"2445 E Ledbetter Dr, Dallas, TX 75216",'06 - 08,M,SOUTH OAK CLIFF H S
'057905003,'057905,A MACEO SMITH NEW TECH H S,DALLAS ISD,32.69186,-96.764893,"3030 Stag Rd, Dallas, TX 75241",'09 - 11,S,#N/A
